series,model_dlinear,n_dlinear,mae_kw_dlinear,mean_abs_actual_kw_dlinear,daylight_n_dlinear,daylight_mae_kw_dlinear,rmse_kw_dlinear,nmae_dlinear,all_day_mae_kw_dlinear,nmae_defined_dlinear,model_baseline,n_baseline,mae_kw_baseline,mean_abs_actual_kw_baseline,daylight_n_baseline,daylight_mae_kw_baseline,rmse_kw_baseline,nmae_baseline,all_day_mae_kw_baseline,nmae_defined_baseline,absolute_improvement_kw,relative_improvement_pct,scope,month,horizon_step,history_size_group
PV,DLinear,334,201.21230696857782,1925.3435047904193,334,201.21230696857782,252.08978143595098,0.10450722505773354,201.21230696857782,True,B3,334,154.890472156,1925.34350479,334,154.890472156,203.903715566,0.0804482274307,154.890472156,True,-46.32183481257783,-29.90618736440043,horizon,,43.0,
PV,DLinear,334,207.06876044331736,2222.2435035928142,334,207.06876044331736,264.56160210258224,0.09318004984986512,207.06876044331736,True,B3,334,171.747855731,2222.24350359,334,171.747855731,224.835746576,0.0772857949426,171.747855731,True,-35.32090471231737,-20.565557899970944,horizon,,44.0,
PV,DLinear,334,216.91231105356587,2520.788847305389,334,216.91231105356587,279.78020454712913,0.08604937747381558,216.91231105356587,True,B3,334,189.104576561,2520.78884731,334,189.104576561,246.820421466,0.0750180153975,189.104576561,True,-27.807734492565885,-14.704950561360882,horizon,,45.0,
PV,DLinear,334,229.27080480841613,2824.5786976047907,334,229.27080480841613,296.79494528440665,0.08116991217233036,229.27080480841613,True,B3,334,203.661972156,2824.5786976,334,203.661972156,264.031056625,0.0721034865583,203.661972156,True,-25.60883265241614,-12.574184753941404,horizon,,46.0,
PV,DLinear,334,242.2046289232036,3129.331613772455,334,242.2046289232036,315.8356578275599,0.07739819834281557,242.2046289232036,True,B3,334,215.027750256,3129.33161377,334,215.027750256,283.667612431,0.0687136349852,215.027750256,True,-27.176878667203596,-12.638777383313702,horizon,,47.0,
PV,DLinear,334,255.3205983119461,3433.21246257485,334,255.3205983119461,334.65171913913593,0.07436784093474368,255.3205983119461,True,B3,334,228.412852866,3433.21246257,334,228.412852866,305.050585584,0.066530357604,228.412852866,True,-26.90774544594609,-11.780311444090106,horizon,,48.0,
PV,DLinear,334,260.0071833402694,3737.1011988023956,334,260.0071833402694,341.9662143231153,0.06957456314632106,260.0071833402694,True,B3,334,238.173520145,3737.1011988,334,238.173520145,313.743259267,0.0637321569514,238.173520145,True,-21.833663195269423,-9.167124532558066,horizon,,49.0,
PV,DLinear,334,273.6686976909282,4034.8848862275445,334,273.6686976909282,358.83311049553095,0.06782565188539925,273.6686976909282,True,B3,334,258.040234944,4034.88488623,334,258.040234944,334.519902944,0.0639523164155,258.040234944,True,-15.628462746928165,-6.05659917738017,horizon,,50.0,
PV,DLinear,334,293.79831052191616,4326.830838323353,334,293.79831052191616,387.56056931491185,0.06790150146839644,293.79831052191616,True,B3,334,289.177737382,4326.83083832,334,289.177737382,369.844464405,0.0668336129116,289.177737382,True,-4.620573139916189,-1.5978315556886984,horizon,,51.0,
PV,DLinear,334,298.96302698901195,4617.745588323353,334,298.96302698901195,390.79430994856983,0.06474220401942103,298.96302698901195,True,B3,334,293.070238708,4617.74558832,334,293.070238708,379.341128385,0.0634660860159,293.070238708,True,-5.892788281011974,-2.010708527413199,horizon,,52.0,
